"filename", "language", "JSON", "JavaScript", "HTML", "comment", "blank", "total"
"d:\downloopy\.eslintrc.json", "JSON", 13, 0, 0, 0, 1, 14
"d:\downloopy\.jshintrc", "JSON", 61, 0, 0, 48, 10, 119
"d:\downloopy\.version.js", "JavaScript", 0, 10, 0, 0, 0, 10
"d:\downloopy\app.js", "JavaScript", 0, 14, 0, 1, 6, 21
"d:\downloopy\app\download.app.js", "JavaScript", 0, 56, 0, 13, 22, 91
"d:\downloopy\app\old\app-old-1.js", "JavaScript", 0, 23, 0, 45, 10, 78
"d:\downloopy\app\old\app-old-2.js", "JavaScript", 0, 229, 0, 1, 28, 258
"d:\downloopy\app\old\app-old-3.js", "JavaScript", 0, 229, 0, 1, 28, 258
"d:\downloopy\app\old\for_loop.js", "JavaScript", 0, 17, 0, 3, 6, 26
"d:\downloopy\app\old\if_cond.js", "JavaScript", 0, 17, 0, 3, 5, 25
"d:\downloopy\app\old\pages.js", "JavaScript", 0, 101, 0, 0, 9, 110
"d:\downloopy\app\old\test.js", "JavaScript", 0, 536, 0, 10, 43, 589
"d:\downloopy\app\pdfing.app.js", "JavaScript", 0, 40, 0, 4, 13, 57
"d:\downloopy\controllers\app.controllers.js", "JavaScript", 0, 89, 0, 41, 29, 159
"d:\downloopy\data\imgs_num_format.js", "JavaScript", 0, 6, 0, 5, 0, 11
"d:\downloopy\index.html", "HTML", 0, 0, 20, 0, 3, 23
"d:\downloopy\package-lock.json", "JSON", 2685, 0, 0, 0, 1, 2686
"d:\downloopy\package.json", "JSON", 42, 0, 0, 0, 1, 43
"d:\downloopy\routes\app.routes.js", "JavaScript", 0, 6, 0, 1, 3, 10
"d:\downloopy\tests\Qnl.book.pages.imgs.js", "JavaScript", 0, 636, 0, 25, 61, 722
"d:\downloopy\tests\Slideshare.slide.imgs.js", "JavaScript", 0, 40, 0, 5, 14, 59
"d:\downloopy\tests\archive.alsharekh.pages.imges.js", "JavaScript", 0, 56, 0, 13, 23, 92
"d:\downloopy\tests\download.test.js", "JavaScript", 0, 36, 0, 0, 0, 36
"d:\downloopy\tests\pdfing.test.js", "JavaScript", 0, 6, 0, 0, 0, 6
"Total", "-", 2801, 2147, 20, 219, 316, 5503
