"filename", "language", "HTML", "JSON", "Log", "JavaScript", "Shell Script", "CSS", "comment", "blank", "total"
"d:\projects_personal\downloopy-master\public\js\new.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 32
"d:\projects_personal\downloopy-master\public\pages\download.html", "HTML", 244, 0, 0, 0, 0, 0, 11, 55, 310
"d:\projects_personal\downloopy-master\public\pages\pdf.html", "HTML", 57, 0, 0, 0, 0, 0, 0, 12, 69
"d:\projects_personal\downloopy-master\public\pages\url_parser.html", "HTML", 28, 0, 0, 0, 0, 0, 1, 7, 36
"d:\projects_personal\downloopy-master\routes\app.routes.js", "JavaScript", 0, 0, 0, 17, 0, 0, 6, 5, 28
"d:\projects_personal\downloopy-master\scripts\request_page.js", "JavaScript", 0, 0, 0, 35, 0, 0, 3, 8, 46
"d:\projects_personal\downloopy-master\scripts\worker.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\projects_personal\downloopy-master\services\debug.log", "Log", 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\projects_personal\downloopy-master\services\file-console-log.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 3, 13
"d:\projects_personal\downloopy-master\services\fs_push_download_test_sample\download.test.dev.json", "JSON", 0, 41, 0, 0, 0, 0, 0, 0, 41
"d:\projects_personal\downloopy-master\services\fs_push_download_test_sample\fs_push_download_test_sample.js", "JavaScript", 0, 0, 0, 23, 0, 0, 6, 10, 39
"d:\projects_personal\downloopy-master\services\shrinkPDF\shrinkpdf.sh", "Shell Script", 0, 0, 0, 0, 54, 0, 34, 12, 100
"d:\projects_personal\downloopy-master\tests\Qnl.book.pages.imgs.js", "JavaScript", 0, 0, 0, 636, 0, 0, 25, 61, 722
"d:\projects_personal\downloopy-master\tests\Slideshare.slide.imgs.js", "JavaScript", 0, 0, 0, 40, 0, 0, 5, 14, 59
"d:\projects_personal\downloopy-master\tests\archive.alsharekh.pages.imges.js", "JavaScript", 0, 0, 0, 56, 0, 0, 13, 23, 92
"d:\projects_personal\downloopy-master\tests\dar.bibalex.pages.imgs.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\projects_personal\downloopy-master\tests\samples\download.test.json", "JSON", 0, 50, 0, 0, 0, 0, 0, 0, 50
"d:\projects_personal\downloopy-master\tests\samples\pdfing.test.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 12
"d:\projects_personal\downloopy-master\views\1_choose_sys.ejs", "HTML", 280, 0, 0, 0, 0, 0, 16, 64, 360
"d:\projects_personal\downloopy-master\views\2_url_parser.ejs", "HTML", 49, 0, 0, 0, 0, 0, 10, 16, 75
"d:\projects_personal\downloopy-master\views\3_path_parser.ejs", "HTML", 49, 0, 0, 0, 0, 0, 4, 16, 69
"d:\projects_personal\downloopy-master\views\4_input_parser.ejs", "HTML", 63, 0, 0, 0, 0, 0, 4, 18, 85
"d:\projects_personal\downloopy-master\views\5_result.ejs", "HTML", 39, 0, 0, 0, 0, 0, 4, 10, 53
"d:\projects_personal\downloopy-master\views\landing.ejs", "HTML", 42, 0, 0, 0, 0, 0, 6, 10, 58
"d:\projects_personal\downloopy-master\views\partials\steps.ejs", "HTML", 21, 0, 0, 0, 0, 0, 0, 0, 21
"Total", "-", 888, 3325, 3377, 4125, 54, 682, 920, 1118, 14489
