"filename", "language", "HTML", "JSON", "Log", "JavaScript", "Shell Script", "CSS", "comment", "blank", "total"
"d:\projects_personal\downloopy-master\tests\Slideshare.slide.imgs.js", "JavaScript", 0, 0, 0, 40, 0, 0, 5, 14, 59
"d:\projects_personal\downloopy-master\tests\archive.alsharekh.pages.imges.js", "JavaScript", 0, 0, 0, 56, 0, 0, 13, 23, 92
"d:\projects_personal\downloopy-master\tests\dar.bibalex.pages.imgs.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\projects_personal\downloopy-master\tests\samples\download.test.json", "JSON", 0, 50, 0, 0, 0, 0, 0, 0, 50
"d:\projects_personal\downloopy-master\tests\samples\pdfing.test.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 12
"d:\projects_personal\downloopy-master\views\1_choose_sys.ejs", "HTML", 280, 0, 0, 0, 0, 0, 16, 64, 360
"d:\projects_personal\downloopy-master\views\2_url_parser.ejs", "HTML", 49, 0, 0, 0, 0, 0, 10, 16, 75
"d:\projects_personal\downloopy-master\views\3_path_parser.ejs", "HTML", 49, 0, 0, 0, 0, 0, 4, 16, 69
"d:\projects_personal\downloopy-master\views\4_input_parser.ejs", "HTML", 63, 0, 0, 0, 0, 0, 4, 18, 85
"d:\projects_personal\downloopy-master\views\5_result.ejs", "HTML", 39, 0, 0, 0, 0, 0, 4, 10, 53
"d:\projects_personal\downloopy-master\views\landing.ejs", "HTML", 42, 0, 0, 0, 0, 0, 6, 10, 58
"d:\projects_personal\downloopy-master\views\partials\steps.ejs", "HTML", 21, 0, 0, 0, 0, 0, 0, 0, 21
"Total", "-", 189, 237, -22351, 953, 0, 270, 209, 307, -20186
