"filename", "language", "JSON", "Log", "JavaScript", "HTML", "CSS", "Shell Script", "comment", "blank", "total"
"d:\personal\downloopy\public\download.html", "HTML", 0, 0, 0, 244, 0, 0, 11, 55, 310
"d:\personal\downloopy\public\js\main.js", "JavaScript", 0, 0, 88, 0, 0, 0, 0, 12, 100
"d:\personal\downloopy\public\pdf.html", "HTML", 0, 0, 0, 57, 0, 0, 0, 12, 69
"d:\personal\downloopy\public\url_parser.html", "HTML", 0, 0, 0, 28, 0, 0, 1, 7, 36
"d:\personal\downloopy\routes\app.routes.js", "JavaScript", 0, 0, 15, 0, 0, 0, 1, 7, 23
"d:\personal\downloopy\scripts\request_page.js", "JavaScript", 0, 0, 35, 0, 0, 0, 3, 8, 46
"d:\personal\downloopy\scripts\worker.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\personal\downloopy\services\debug.log", "Log", 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\personal\downloopy\services\file-console-log.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 3, 13
"d:\personal\downloopy\services\fs_push_download_test_sample\download.test.dev.json", "JSON", 41, 0, 0, 0, 0, 0, 0, 0, 41
"d:\personal\downloopy\services\fs_push_download_test_sample\fs_push_download_test_sample.js", "JavaScript", 0, 0, 23, 0, 0, 0, 6, 10, 39
"d:\personal\downloopy\services\shrinkPDF\shrinkpdf.sh", "Shell Script", 0, 0, 0, 0, 0, 54, 34, 12, 100
"d:\personal\downloopy\tests\Qnl.book.pages.imgs.js", "JavaScript", 0, 0, 636, 0, 0, 0, 25, 61, 722
"d:\personal\downloopy\tests\Slideshare.slide.imgs.js", "JavaScript", 0, 0, 40, 0, 0, 0, 5, 14, 59
"d:\personal\downloopy\tests\archive.alsharekh.pages.imges.js", "JavaScript", 0, 0, 56, 0, 0, 0, 13, 23, 92
"d:\personal\downloopy\tests\dar.bibalex.pages.imgs.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\personal\downloopy\tests\samples\download.test.json", "JSON", 50, 0, 0, 0, 0, 0, 0, 0, 50
"d:\personal\downloopy\tests\samples\pdfing.test.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 12
"d:\personal\downloopy\views\download.ejs", "HTML", 0, 0, 0, 277, 0, 0, 12, 62, 351
"d:\personal\downloopy\views\input_parser.ejs", "HTML", 0, 0, 0, 28, 0, 0, 0, 8, 36
"d:\personal\downloopy\views\path_parser.ejs", "HTML", 0, 0, 0, 31, 0, 0, 1, 10, 42
"d:\personal\downloopy\views\url_parser.ejs", "HTML", 0, 0, 0, 18, 0, 0, 0, 7, 25
"Total", "-", 3088, 25728, 3172, 699, 412, 54, 711, 811, 34675
