"filename", "language", "JSON", "JavaScript", "HTML", "comment", "blank", "total"
"d:\downloopy\.eslintrc.json", "JSON", 13, 0, 0, 0, 1, 14
"d:\downloopy\.jshintrc", "JSON", 61, 0, 0, 48, 10, 119
"d:\downloopy\.version.json", "JSON", 12, 0, 0, 0, 0, 12
"d:\downloopy\app.js", "JavaScript", 0, 16, 0, 2, 6, 24
"d:\downloopy\app\download.app.js", "JavaScript", 0, 56, 0, 13, 22, 91
"d:\downloopy\app\old\app-old-1.js", "JavaScript", 0, 23, 0, 45, 10, 78
"d:\downloopy\app\old\app-old-2.js", "JavaScript", 0, 229, 0, 1, 28, 258
"d:\downloopy\app\old\app-old-3.js", "JavaScript", 0, 229, 0, 1, 28, 258
"d:\downloopy\app\old\for_loop.js", "JavaScript", 0, 17, 0, 3, 6, 26
"d:\downloopy\app\old\if_cond.js", "JavaScript", 0, 17, 0, 3, 5, 25
"d:\downloopy\app\old\pages.js", "JavaScript", 0, 101, 0, 0, 9, 110
"d:\downloopy\app\old\test.js", "JavaScript", 0, 536, 0, 10, 43, 589
"d:\downloopy\app\pdfing.app.js", "JavaScript", 0, 40, 0, 4, 13, 57
"d:\downloopy\bin\file_stream\stream.js", "JavaScript", 0, 60, 0, 29, 7, 96
"d:\downloopy\bin\fs_read_write_array\test.js", "JavaScript", 0, 1, 0, 0, 0, 1
"d:\downloopy\bin\fs_read_write_array\writefile.js", "JavaScript", 0, 18, 0, 2, 4, 24
"d:\downloopy\controllers\app.controllers.js", "JavaScript", 0, 155, 0, 74, 49, 278
"d:\downloopy\data\imgs_num_format.js", "JavaScript", 0, 6, 0, 5, 0, 11
"d:\downloopy\package-lock.json", "JSON", 2690, 0, 0, 0, 1, 2691
"d:\downloopy\package.json", "JSON", 44, 0, 0, 0, 1, 45
"d:\downloopy\public\index.html", "HTML", 0, 0, 82, 4, 18, 104
"d:\downloopy\routes\app.routes.js", "JavaScript", 0, 7, 0, 2, 3, 12
"d:\downloopy\services\fs_push_download_test_sample\download.test.dev.json", "JSON", 41, 0, 0, 0, 0, 41
"d:\downloopy\services\fs_push_download_test_sample\fs_push_download_test_sample.js", "JavaScript", 0, 23, 0, 6, 10, 39
"d:\downloopy\tests\Qnl.book.pages.imgs.js", "JavaScript", 0, 636, 0, 25, 61, 722
"d:\downloopy\tests\Slideshare.slide.imgs.js", "JavaScript", 0, 40, 0, 5, 14, 59
"d:\downloopy\tests\archive.alsharekh.pages.imges.js", "JavaScript", 0, 56, 0, 13, 23, 92
"d:\downloopy\tests\dar.bibalex.pages.imgs.js", "JavaScript", 0, 0, 0, 0, 1, 1
"d:\downloopy\tests\samples\download.test.json", "JSON", 50, 0, 0, 0, 0, 50
"d:\downloopy\tests\samples\pdfing.test.json", "JSON", 12, 0, 0, 0, 0, 12
"Total", "-", 2923, 2266, 82, 295, 373, 5939
